species,age,year,area,depth_bin,temperature,std_err,samp_size
sablefish,0,1977,ECV,<=183m,-9,-9,4
sablefish,0,1980,ECV,<=183m,-9,-9,4
sablefish,0,1983,ECV,<=183m,9,0.276385399196283,9
sablefish,0,1984,ECV,<=183m,-9,-9,2
sablefish,0,1986,ECV,<=183m,7.24375,0.128766180213077,16
sablefish,0,1988,ECV,<=183m,-9,-9,0
sablefish,0,1989,ECV,<=183m,-9,-9,1
sablefish,0,1990,ECV,<=183m,-9,-9,0
sablefish,0,1991,ECV,<=183m,-9,-9,0
sablefish,0,1992,ECV,<=183m,7.72857142857143,0.092131884831311,28
sablefish,0,1993,ECV,<=183m,-9,-9,0
sablefish,0,1995,ECV,<=183m,7.28333333333333,0.031198108082666,114
sablefish,0,1996,ECV,<=183m,-9,-9,1
sablefish,0,1997,ECV,<=183m,-9,-9,0
sablefish,0,1998,ECV,<=183m,7.64511278195489,0.039339299725128,133
sablefish,0,1999,ECV,<=183m,-9,-9,0
sablefish,0,2000,ECV,<=183m,-9,-9,0
sablefish,0,2001,ECV,<=183m,7.06717557251908,0.033567361536623,131
sablefish,0,2002,ECV,<=183m,-9,-9,0
sablefish,0,2003,ECV,<=183m,7.26591925925926,0.052609247532367,135
sablefish,0,2004,ECV,<=183m,7.52690603448276,0.029384664208765,232
sablefish,0,2005,ECV,<=183m,7.60085777777778,0.046240750728177,180
sablefish,0,2006,ECV,<=183m,7.577388125,0.036694994360831,160
sablefish,0,2007,ECV,<=183m,7.2286064516129,0.040124481664395,186
sablefish,0,2008,ECV,<=183m,7.37326516129032,0.064293818760332,155
sablefish,0,2009,ECV,<=183m,7.43708333333333,0.061522975573645,156
sablefish,0,2010,ECV,<=183m,7.33969830508475,0.046066109733959,177
sablefish,0,2011,ECV,<=183m,7.414305625,0.037214062623625,160
sablefish,0,2012,ECV,<=183m,7.36671610738255,0.050297950970378,149
sablefish,0,2013,ECV,<=183m,7.28873274336283,0.057346060211217,113
sablefish,0,2014,ECV,<=183m,7.72704268292683,0.072266144667929,164
sablefish,0,2015,ECV,<=183m,7.84908846153846,0.068227262845114,156
sablefish,0,2016,ECV,<=183m,7.4868896969697,0.0391472118211,165
sablefish,0,2017,ECV,<=183m,7.71668536585366,0.05850344544569,164
sablefish,0,2018,ECV,<=183m,7.71284836601307,0.044827630603437,153
sablefish,1,1977,ECV,<=183m,-9,-9,4
sablefish,1,1980,ECV,<=183m,-9,-9,4
sablefish,1,1983,ECV,<=183m,9,0.276385399196283,9
sablefish,1,1984,ECV,<=183m,-9,-9,2
sablefish,1,1986,ECV,<=183m,7.24375,0.128766180213077,16
sablefish,1,1988,ECV,<=183m,-9,-9,0
sablefish,1,1989,ECV,<=183m,-9,-9,1
sablefish,1,1990,ECV,<=183m,-9,-9,0
sablefish,1,1991,ECV,<=183m,-9,-9,0
sablefish,1,1992,ECV,<=183m,7.72857142857143,0.092131884831311,28
sablefish,1,1993,ECV,<=183m,-9,-9,0
sablefish,1,1995,ECV,<=183m,7.28333333333333,0.031198108082666,114
sablefish,1,1996,ECV,<=183m,-9,-9,1
sablefish,1,1997,ECV,<=183m,-9,-9,0
sablefish,1,1998,ECV,<=183m,7.64511278195489,0.039339299725128,133
sablefish,1,1999,ECV,<=183m,-9,-9,0
sablefish,1,2000,ECV,<=183m,-9,-9,0
sablefish,1,2001,ECV,<=183m,7.06717557251908,0.033567361536623,131
sablefish,1,2002,ECV,<=183m,-9,-9,0
sablefish,1,2003,ECV,<=183m,7.26591925925926,0.052609247532367,135
sablefish,1,2004,ECV,<=183m,7.52690603448276,0.029384664208765,232
sablefish,1,2005,ECV,<=183m,7.60085777777778,0.046240750728177,180
sablefish,1,2006,ECV,<=183m,7.577388125,0.036694994360831,160
sablefish,1,2007,ECV,<=183m,7.2286064516129,0.040124481664395,186
sablefish,1,2008,ECV,<=183m,7.37326516129032,0.064293818760332,155
sablefish,1,2009,ECV,<=183m,7.43708333333333,0.061522975573645,156
sablefish,1,2010,ECV,<=183m,7.33969830508475,0.046066109733959,177
sablefish,1,2011,ECV,<=183m,7.414305625,0.037214062623625,160
sablefish,1,2012,ECV,<=183m,7.36671610738255,0.050297950970378,149
sablefish,1,2013,ECV,<=183m,7.28873274336283,0.057346060211217,113
