"","Estimate","Std. Error"
"beta_b",1.19917197842157,0.00113986132461636
"beta_a",-12.9222157763716,0.0149805930083161
"beta_k",-1.88092044063529,0.0727191577977715
"beta_Linf",4.64538909918964,0.01762778501813
"t0",-1.51727375544391,0.111063968276027
"beta_Ecov_k",0.969908548469407,0.0965359264025301
"Ecov_mu",0.00269646073294915,0.0566059503441286
"Ecov_AR_pars",-0.51558647111594,0.517627833524878
"Ecov_AR_pars",-1.17876804155373,0.151749405799276
"k_AR_pars",-0.69275782436089,0.546876400440408
"k_AR_pars",-0.958244184189273,0.157995478881504
"beta_sig_Linf",-2.03111395455642,0.00839853283713114
"beta_sig_W_obs",-2.2471768083763,0.00846543334022108
