"","Estimate","Std. Error"
"beta_b",1.23217697146031,0.00130337837784571
"beta_a",-12.9411319200401,0.0158011830292864
"beta_k",-1.93543496458117,0.0655835610274649
"beta_Linf",3.95615272999631,0.0097020659665652
"t0",-1.92611362963244,0.102277931878082
"beta_Ecov_k",0.946894284284197,0.154447718490323
"Ecov_mu",-0.0603952735639452,0.112536093792099
"Ecov_AR_pars",1.0130945159112,0.64553626299884
"Ecov_AR_pars",-1.16485735177175,0.159667314841417
"k_AR_pars",-0.115095857721742,0.51609161056839
"k_AR_pars",-1.20807886135398,0.189981435127057
"beta_sig_Linf",-2.12656524120467,0.00626913655066571
"beta_sig_W_obs",-2.21679951541013,0.00626889607228871
