"","Estimate","Std. Error"
"beta_b",1.12724035401737,0.00165450518221717
"beta_a",-12.3016659954187,0.0189477675525264
"beta_k",-1.51686938822034,0.065889953115418
"beta_Linf",4.0390548587855,0.00473633947619738
"beta_Linf",4.08013378021795,0.0115457622125878
"t0",-1.36254983181979,0.0690024187551082
"beta_Ecov_k",0.463559094262845,0.0562729915398317
"Ecov_mu",0.138573404490447,0.202328567942642
"Ecov_AR_pars",1.45829818658627,0.445166560339446
"Ecov_AR_pars",-0.698244923760917,0.165593098788648
"k_AR_pars",0.832324179129549,0.452194887091438
"k_AR_pars",-1.4984536809476,0.205591509789326
"beta_sig_Linf",-2.36776302768366,0.00666476672913122
"beta_sig_W_obs",-2.14700639921754,0.00964217746163605
