"","Estimate","Std. Error"
"beta_b",1.15425655642398,0.00296089714926256
"beta_a",-12.0733801756979,0.0288776962529807
"beta_k",-1.31001704806773,0.140639381640516
"beta_Linf",3.3734538903015,0.0121720567099991
"t0",-1.87706899084782,0.126484154045446
"beta_Ecov_k",0.83239807014496,0.18881112171385
"Ecov_mu",-0.0643667094814996,0.0956631147837269
"Ecov_AR_pars",0.54811628223235,0.556569823793302
"Ecov_AR_pars",-1.03327089038694,0.157590652531367
"k_AR_pars",0.736297195350608,0.768835450391102
"k_AR_pars",-1.11734305204553,0.265410567785958
"beta_sig_Linf",-2.08985444305982,0.0076575154000188
"beta_sig_W_obs",-1.74298719903402,0.00770783319142438
